S11;S22;S33;S12;S13;S23;theta
-14.777;-14.777;29.554;0;0;0;0
-14.358;-15.2532;29.6112;0;0;0;0.017453
-13.9252;-15.7182;29.6434;0;0;0;0.034907
-13.4743;-16.1647;29.6389;0;0;0;0.05236
-13.0068;-16.5917;29.5984;0;0;0;0.069813
-12.5256;-16.9997;29.5254;0;0;0;0.087266
-12.0317;-17.3873;29.419;0;0;0;0.10472
-11.5266;-17.7537;29.2803;0;0;0;0.12217
-11.0132;-18.1001;29.1133;0;0;0;0.13963
-10.4948;-18.4296;28.9244;0;0;0;0.15708
-9.9743;-18.7456;28.7199;0;0;0;0.17453
-9.4539;-19.0508;28.5047;0;0;0;0.19199
-8.9351;-19.3475;28.2826;0;0;0;0.20944
-8.4185;-19.6375;28.056;0;0;0;0.22689
-7.905;-19.9221;27.8271;0;0;0;0.24435
-7.3947;-20.2026;27.5973;0;0;0;0.2618
-6.8874;-20.4792;27.3666;0;0;0;0.27925
-6.383;-20.7521;27.1351;0;0;0;0.29671
-5.8813;-21.0216;26.9029;0;0;0;0.31416
-5.3821;-21.2878;26.6699;0;0;0;0.33161
-4.8852;-21.5511;26.4363;0;0;0;0.34907
-4.3905;-21.8115;26.202;0;0;0;0.36652
-3.8977;-22.0693;25.967;0;0;0;0.38397
-3.4067;-22.3247;25.7314;0;0;0;0.40143
-2.9172;-22.5779;25.4951;0;0;0;0.41888
-2.429;-22.8293;25.2582;0;0;0;0.43633
-1.9419;-23.0789;25.0208;0;0;0;0.45379
-1.4557;-23.3273;24.783;0;0;0;0.47124
-0.97015;-23.5745;24.5446;0;0;0;0.48869
-0.485;-23.8208;24.3058;0;0;0;0.50615
-1.8893e-15;-24.0665;24.0665;0;0;0;0.5236
0.48513;-24.3119;23.8267;0;0;0;0.54105
0.97065;-24.5571;23.5864;0;0;0;0.55851
1.4568;-24.8024;23.3456;0;0;0;0.57596
1.944;-25.0481;23.1041;0;0;0;0.59341
2.4324;-25.2943;22.8618;0;0;0;0.61087
2.9224;-25.5412;22.6188;0;0;0;0.62832
3.4143;-25.7891;22.3748;0;0;0;0.64577
3.9084;-26.0381;22.1297;0;0;0;0.66323
4.405;-26.2885;21.8835;0;0;0;0.68068
4.9045;-26.5404;21.6359;0;0;0;0.69813
5.4071;-26.7939;21.3868;0;0;0;0.71558
5.9133;-27.0492;21.136;0;0;0;0.73304
6.4233;-27.3065;20.8832;0;0;0;0.75049
6.9375;-27.5659;20.6283;0;0;0;0.76794
7.4563;-27.8274;20.3711;0;0;0;0.7854
7.98;-28.0912;20.1112;0;0;0;0.80285
8.509;-28.3574;19.8484;0;0;0;0.8203
9.0436;-28.6261;19.5825;0;0;0;0.83776
9.5841;-28.8973;19.3131;0;0;0;0.85521
10.131;-29.171;19.04;0;0;0;0.87266
10.6845;-29.4473;18.7628;0;0;0;0.89012
11.2451;-29.7262;18.4811;0;0;0;0.90757
11.813;-30.0077;18.1947;0;0;0;0.92502
12.3887;-30.2919;17.9032;0;0;0;0.94248
12.9726;-30.5789;17.6064;0;0;0;0.95993
13.5651;-30.869;17.3039;0;0;0;0.97738
14.1668;-31.1623;16.9955;0;0;0;0.99484
14.7781;-31.4591;16.6809;0;0;0;1.0123
15.3996;-31.7593;16.3597;0;0;0;1.0297
16.0316;-32.0632;16.0316;0;0;0;1.0472
16.6748;-32.3709;15.6961;0;0;0;1.0647
17.3296;-32.6824;15.3528;0;0;0;1.0821
17.9965;-32.9977;15.0012;0;0;0;1.0996
18.6761;-33.317;14.6409;0;0;0;1.117
19.369;-33.6403;14.2713;0;0;0;1.1345
20.0755;-33.9674;13.8919;0;0;0;1.1519
20.7962;-34.2983;13.5021;0;0;0;1.1694
21.5313;-34.6323;13.101;0;0;0;1.1868
22.2808;-34.9687;12.6879;0;0;0;1.2043
23.0448;-35.3067;12.2619;0;0;0;1.2217
23.8232;-35.6454;11.8222;0;0;0;1.2392
24.6153;-35.9831;11.3678;0;0;0;1.2566
25.4192;-36.3164;10.8972;0;0;0;1.2741
26.2327;-36.6417;10.409;0;0;0;1.2915
27.0533;-36.9555;9.9022;0;0;0;1.309
27.8785;-37.2543;9.3758;0;0;0;1.3265
28.7034;-37.532;8.8286;0;0;0;1.3439
29.5243;-37.7844;8.2601;0;0;0;1.3614
30.3357;-38.0053;7.6696;0;0;0;1.3788
31.1311;-38.188;7.0569;0;0;0;1.3963
31.9055;-38.3278;6.4224;0;0;0;1.4137
32.6573;-38.425;5.7677;0;0;0;1.4312
33.3798;-38.4734;5.0937;0;0;0;1.4486
34.0733;-38.4757;4.4024;0;0;0;1.4661
34.7342;-38.4298;3.6956;0;0;0;1.4835
35.362;-38.3374;2.9754;0;0;0;1.501
35.9545;-38.1982;2.2437;0;0;0;1.5184
